id,titre,type_de_produit,poid_total_du_bijoux,pierre_principale,forme_pierre_principale,couleur_pierre_principale,carat_pierre_principale,nombre_de_pierres,nom_pierre_d_ornements,couleur_pierre_d_ornements,caratage_pierre_d_ornement,prix,description,en_ligne
87,Bague diamant - Rosea,Bague,"7,8",Diamant,Rond,Blanc,"2,45",112,Diamant,Blanc,"2,45",6800,,TRUE
88,Bague diamant - Mélisandre ,Bague,"10,8",Diamant,Baguette ,Blanc,"2,28",165,Diamant,Blanc,"2,28",9400,,TRUE
89,Bague diamant - Camélia,Bague,"7,8",Diamant,Rond ,Blanc,"1,28",68,Diamant,Blanc,"1,28",4350,,TRUE
90,Bague en Perle ,Bague,"14,6",Perle,Rond,Blanc,0,7,Diamant,Blanc,"0,38",7200,,TRUE
91,Bague émeraude verte - Naya,Bague,"9,8",Émeraude,Rond ,Vert,"3,6",30,Diamant,Blanc,"1,35",9400,,TRUE
92,Bague émeraude verte - Mia,Bague,"8,9",Émeraude,Rond ,Vert,"3,15",42,Diamant,Blanc,"0,8",7900,,TRUE
93,Bague coeur Diamant - Lina,Bague,"6,9",Diamant,Rond ,Blanc,"1,12","1,12",Diamant,Blanc,"0,6",4950,,TRUE
94,Bague Tanzanite - Elie,Bague,"6,1",Tanzanite,Rond,Bleu,"3,92",55,Diamant,Blanc,"1,65",6800,,TRUE
95,Bague aigmarine - Clea,Bague,"6,7",Aigue-Marine,Rond ,Bleu,"3,3",20,Diamant,Blanc,"0,8",6700,,TRUE
96,Bague aigmarine - Yara,Bague,"7,4",Aigue-Marine,Rond,Bleu,"4,15",40,Diamant,Blanc,"1,28",6200,,TRUE
97,Bague aigmarine - Eléonore,Bague,"6,7",Aigue-Marine,Rond,Bleu,"1,6",18,Diamant,Blanc,"0,8",5400,,TRUE
98,Bague saphir - Charlotte,Bague,"8,8",Saphir,Rond,Rose,"5,12",34,Diamant,Blanc,"1,7",9800,,TRUE
99,Bague saphir - Margaux ,Bague,"6,3",Saphir,Rond,Jaune,"3,9",24,"Spinelle, Diamant","Rouge, Blanc","1,15 - 0,80",4800,,TRUE
100,Bague diamant - Cécile,Bague,"6,9",Diamant,Rond,Blanc,"1,6",29,Diamant,Blanc,"1,4",8900,,TRUE
101,Bague diamant - Juliette ,Bague,"5,3",Diamant,Rond ,Blanc,1,35,,,,6300,,TRUE
102,Bague Rubelite - Amandine,Bague,"4,6",Rubellite,Rond ,Rouge,"2,1",36,Diamant,Blanc,"0,8",3800,,TRUE
